Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
356.19186	24.0440	24.4332	24.9125	2;4	z2:711.3779;z4:356.1919	2	4	1418.73164	355.69019	6.7389e8	1	2
420.71432	24.0440	24.2253	24.6987	2;4	z2:840.4210;z4:420.7143	2	4	1674.81457	419.71092	4.3650e8	2	2
473.30710	24.4332	24.9125	24.9632	2	z2:473.3071	1	2	942.59293	472.30374	2.9225e8	1	1
416.24902	24.4332	24.9125	24.9632	2;4	z2:831.4899;z4:416.2490	2	4	1656.95332	415.24561	2.7242e8	2	2
387.27142	24.2738	24.7448	24.9632	2	z2:387.2714	1	2	770.52158	386.26807	2.1103e8	1	1
345.22382	24.0440	24.1867	24.6553	4	z4:345.2238	1	4	1374.85945	344.72214	2.0657e8	1	1
410.68216	24.0440	24.3087	24.7837	2;4	z2:820.3604;z4:410.6822	2	4	1634.68803	409.67928	1.9607e8	2	2
359.26468	24.0783	24.5637	24.9632	2	z2:359.2647	1	2	714.50810	358.26132	1.9114e8	1	1
357.69266	24.0783	24.5637	24.9632	2;4	z2:714.3768;z4:357.6927	2	4	1422.72569	356.68870	1.7567e8	1	2
359.24023	24.0440	24.1215	24.6205	1	z1:359.2402	1	1	358.23296	359.24023	1.6792e8	1	1
322.18738	24.0440	24.3780	24.8730	4	z4:322.1874	1	4	1282.71370	321.68570	1.6640e8	1	1
409.21912	24.0783	24.5637	24.9632	2	z2:409.2191	1	2	814.41697	408.21576	1.4933e8	1	1
519.31238	24.2253	24.6987	24.9632	2	z2:519.3124	1	2	1034.60349	518.30902	1.3721e8	1	1
444.28177	24.3780	24.8730	24.9632	2	z2:444.2818	1	2	884.54227	443.27841	1.3684e8	1	1
473.28180	24.0440	24.5127	24.9632	2	z2:473.2818	1	2	942.54234	472.27844	1.3608e8	1	1
546.32397	24.0440	24.3780	24.8730	2	z2:546.3240	1	2	1088.62669	545.32062	1.3147e8	1	1
308.69250	24.0440	24.3087	24.7837	2;4	z2:616.3759;z4:308.6925	2	4	1228.73310	308.19055	1.2592e8	2	2
477.74023	24.2253	24.6987	24.9632	2;4;6	z2:954.4735;z4:477.7402;z6:318.8291	3	4	1902.91848	476.73690	1.2486e8	3	3
436.21109	24.6553	24.8730	24.9632	2;4	z2:871.4148;z4:436.2111	2	4	1736.80179	435.20773	1.2412e8	2	2
573.33514	24.2738	24.7448	24.9632	2	z2:573.3351	1	2	1142.64903	572.33179	1.2248e8	1	1
357.24960	24.1867	24.6553	24.9632	2	z2:357.2496	1	2	710.47794	356.24625	1.2155e8	1	1
433.73975	24.3087	24.3780	24.8730	2;4	z2:866.4741;z4:433.7397	2	4	1726.91688	432.73650	1.2115e8	2	2
560.74731	24.7448	24.7837	24.9632	2;4;6	z2:1120.4854;z4:560.7473;z6:374.1674	3	4	2234.94682	559.74398	1.1963e8	2	3
406.18182	24.3087	24.7837	24.9632	2;4	z2:811.3574;z4:406.1818	2	4	1618.69148	405.68015	1.1937e8	1	2
402.72589	24.4332	24.9125	24.9632	2;4	z2:804.4467;z4:402.7259	2	4	1604.86775	402.22421	1.1374e8	1	2
417.24551	24.0440	24.1522	24.6205	2	z2:417.2455	1	2	830.46977	416.24216	1.1037e8	1	1
393.24863	24.4808	24.9363	24.9632	2	z2:393.2486	1	2	782.47599	392.24527	1.1034e8	1	1
423.22305	24.0440	24.4808	24.9632	2;4	z2:846.4460;z4:423.2231	2	4	1684.84969	422.21970	1.0402e8	1	2
508.28564	24.0783	24.5637	24.9632	1	z1:508.2856	1	1	507.27837	508.28564	1.0216e8	1	1
438.23358	24.0440	24.4808	24.9632	2	z2:438.2336	1	2	872.44590	437.23023	1.0182e8	1	1
488.73495	24.0440	24.1215	24.5637	2;4	z2:976.4612;z4:488.7350	2	4	1946.89703	487.73154	1.0128e8	2	2
572.31470	24.0440	24.1867	24.6553	2	z2:572.3147	1	2	1140.60813	571.31134	9.8067e7	1	1
371.21515	24.0440	24.5127	24.9632	2;4	z2:741.4250;z4:371.2151	2	4	1478.82478	370.71347	9.2689e7	1	2
